ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2011-06-20,2011-06-21 02:00:00,1191,37,29,2755.7
2011-06-21,2011-06-22 02:00:00,1242,30,25,1585.04
2011-06-22,2011-06-23 02:00:00,1753,34,34,2382.42
2011-06-23,2011-06-24 02:00:00,1140,33,31,1922.56
2011-06-24,2011-06-25 02:00:00,889,21,17,1358.46
2011-06-25,2011-06-26 02:00:00,0,0,0,0.0
2011-06-26,2011-06-27 02:00:00,384,14,14,600.17
2011-06-27,2011-06-28 02:00:00,1587,31,24,2663.69
2011-06-28,2011-06-29 02:00:00,1824,22,19,2151.23
2011-06-29,2011-06-30 02:00:00,810,22,20,1199.87
2011-06-30,2011-07-01 02:00:00,632,33,29,1024.78
2011-07-01,2011-07-02 02:00:00,486,23,18,836.48
2011-07-02,2011-07-03 02:00:00,0,0,0,0.0
2011-07-03,2011-07-04 02:00:00,296,13,12,418.55
2011-07-04,2011-07-05 02:00:00,788,27,18,1397.8
2011-07-05,2011-07-06 02:00:00,1770,28,22,2794.39
2011-07-06,2011-07-07 02:00:00,1193,33,30,1598.52
2011-07-07,2011-07-08 02:00:00,1648,35,32,2523.43
2011-07-08,2011-07-09 02:00:00,787,30,18,1249.57
2011-07-09,2011-07-10 02:00:00,0,0,0,0.0
2011-07-10,2011-07-11 02:00:00,261,14,12,397.12
2011-07-11,2011-07-12 02:00:00,817,24,21,994.41
2011-07-12,2011-07-13 02:00:00,1899,29,24,3934.23
2011-07-13,2011-07-14 02:00:00,1125,29,27,1842.98
2011-07-14,2011-07-15 02:00:00,832,31,28,1690.43
2011-07-15,2011-07-16 02:00:00,462,18,15,842.62
2011-07-16,2011-07-17 02:00:00,0,0,0,0.0
2011-07-17,2011-07-18 02:00:00,646,28,26,1002.12
2011-07-18,2011-07-19 02:00:00,1160,33,24,2032.69
2011-07-19,2011-07-20 02:00:00,1544,41,37,2928.75
2011-07-20,2011-07-21 02:00:00,1446,24,21,1032.06
2011-07-21,2011-07-22 02:00:00,1521,40,32,2094.26
2011-07-22,2011-07-23 02:00:00,661,17,14,1380.82
2011-07-23,2011-07-24 02:00:00,0,0,0,0.0
2011-07-24,2011-07-25 02:00:00,1185,27,27,2049.55
2011-07-25,2011-07-26 02:00:00,796,28,23,1265.78
2011-07-26,2011-07-27 02:00:00,935,23,20,1334.47
2011-07-27,2011-07-28 02:00:00,1066,23,20,3493.87
2011-07-28,2011-07-29 02:00:00,1644,27,24,4129.73
2011-07-29,2011-07-30 02:00:00,748,32,29,1198.8
2011-07-30,2011-07-31 02:00:00,0,0,0,0.0
2011-07-31,2011-08-01 02:00:00,789,24,23,1642.5
2011-08-01,2011-08-02 02:00:00,869,17,15,1145.87
2011-08-02,2011-08-03 02:00:00,957,25,21,1725.94
2011-08-03,2011-08-04 02:00:00,1775,31,30,2123.12
2011-08-04,2011-08-05 02:00:00,1817,38,36,2974.09
2011-08-05,2011-08-06 02:00:00,999,25,23,1624.43
2011-08-06,2011-08-07 02:00:00,0,0,0,0.0
2011-08-07,2011-08-08 02:00:00,546,16,15,748.74
2011-08-08,2011-08-09 02:00:00,695,19,17,1401.92
2011-08-09,2011-08-10 02:00:00,700,21,20,1117.87
2011-08-10,2011-08-11 02:00:00,1358,28,23,2373.11
2011-08-11,2011-08-12 02:00:00,2595,38,35,3947.32
2011-08-12,2011-08-13 02:00:00,1351,20,17,2580.84
2011-08-13,2011-08-14 02:00:00,0,0,0,0.0
2011-08-14,2011-08-15 02:00:00,112,7,7,217.74
2011-08-15,2011-08-16 02:00:00,595,24,24,1103.71
2011-08-16,2011-08-17 02:00:00,528,24,23,871.85
2011-08-17,2011-08-18 02:00:00,2169,26,23,3415.09
2011-08-18,2011-08-19 02:00:00,2243,32,32,3893.02
2011-08-19,2011-08-20 02:00:00,740,23,23,1124.62
2011-08-20,2011-08-21 02:00:00,0,0,0,0.0
2011-08-21,2011-08-22 02:00:00,694,20,18,922.84
2011-08-22,2011-08-23 02:00:00,1651,28,27,2531.27
2011-08-23,2011-08-24 02:00:00,881,27,25,1228.8
2011-08-24,2011-08-25 02:00:00,1127,28,24,1939.52
2011-08-25,2011-08-26 02:00:00,1615,43,41,2327.34
2011-08-26,2011-08-27 02:00:00,1310,21,18,2194.42
2011-08-27,2011-08-28 02:00:00,0,0,0,0.0
2011-08-28,2011-08-29 02:00:00,731,27,27,1305.7
2011-08-29,2011-08-30 02:00:00,0,0,0,0.0
2011-08-30,2011-08-31 02:00:00,1026,26,11,2569.18
2011-08-31,2011-09-01 02:00:00,2107,29,27,3328.78
2011-09-01,2011-09-02 02:00:00,2495,31,29,2830.12
2011-09-02,2011-09-03 02:00:00,2133,41,31,5454.24
2011-09-03,2011-09-04 02:00:00,0,0,0,0.0
2011-09-04,2011-09-05 02:00:00,518,21,20,926.7
2011-09-05,2011-09-06 02:00:00,622,26,25,1424.3
2011-09-06,2011-09-07 02:00:00,1273,27,25,2141.2
2011-09-07,2011-09-08 02:00:00,1614,23,16,2322.81
2011-09-08,2011-09-09 02:00:00,1038,31,27,1790.84
2011-09-09,2011-09-10 02:00:00,1195,31,29,2172.81
2011-09-10,2011-09-11 02:00:00,0,0,0,0.0
2011-09-11,2011-09-12 02:00:00,2094,40,40,3857.44
2011-09-12,2011-09-13 02:00:00,1661,40,39,3390.97
2011-09-13,2011-09-14 02:00:00,1802,42,37,3248.34
2011-09-14,2011-09-15 02:00:00,2029,35,33,2687.93
2011-09-15,2011-09-16 02:00:00,2115,39,35,4689.08
2011-09-16,2011-09-17 02:00:00,602,24,22,1514.62
2011-09-17,2011-09-18 02:00:00,0,0,0,0.0
2011-09-18,2011-09-19 02:00:00,800,16,16,1134.41
2011-09-19,2011-09-20 02:00:00,1692,33,30,3921.35
2011-09-20,2011-09-21 02:00:00,4025,35,28,9905.89
2011-09-21,2011-09-22 02:00:00,1592,34,27,2423.48
2011-09-22,2011-09-23 02:00:00,1895,48,46,2888.6
2011-09-23,2011-09-24 02:00:00,1416,37,32,1874.34
2011-09-24,2011-09-25 02:00:00,0,0,0,0.0
2011-09-25,2011-09-26 02:00:00,1731,47,47,2979.69
2011-09-26,2011-09-27 02:00:00,734,25,25,1160.48
2011-09-27,2011-09-28 02:00:00,1028,34,30,1609.58
2011-09-28,2011-09-29 02:00:00,1864,48,44,2919.7
2011-09-29,2011-09-30 02:00:00,1516,50,46,3006.7
2011-09-30,2011-10-01 02:00:00,1524,34,31,4801.44
