ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2010-04-01,2010-04-02 02:00:00,1229,43,41,2696.86
2010-04-02,2010-04-03 02:00:00,0,0,0,0.0
2010-04-03,2010-04-04 02:00:00,0,0,0,0.0
2010-04-04,2010-04-05 02:00:00,0,0,0,0.0
2010-04-05,2010-04-06 02:00:00,0,0,0,0.0
2010-04-06,2010-04-07 02:00:00,907,28,27,1624.63
2010-04-07,2010-04-08 02:00:00,1542,35,29,3174.19
2010-04-08,2010-04-09 02:00:00,1786,38,33,3702.73
2010-04-09,2010-04-10 02:00:00,1022,28,20,1844.0
2010-04-10,2010-04-11 02:00:00,0,0,0,0.0
2010-04-11,2010-04-12 02:00:00,2272,29,29,3692.61
2010-04-12,2010-04-13 02:00:00,1191,23,21,2631.28
2010-04-13,2010-04-14 02:00:00,1260,29,27,3111.7
2010-04-14,2010-04-15 02:00:00,1028,24,24,1240.69
2010-04-15,2010-04-16 02:00:00,1029,40,37,1550.97
2010-04-16,2010-04-17 02:00:00,524,18,17,1057.55
2010-04-17,2010-04-18 02:00:00,0,0,0,0.0
2010-04-18,2010-04-19 02:00:00,3050,38,33,3324.57
2010-04-19,2010-04-20 02:00:00,4478,50,29,3709.05
2010-04-20,2010-04-21 02:00:00,1211,38,30,2303.47
2010-04-21,2010-04-22 02:00:00,1031,29,24,1822.42
2010-04-22,2010-04-23 02:00:00,2956,36,35,4163.03
2010-04-23,2010-04-24 02:00:00,1153,34,27,1884.05
2010-04-24,2010-04-25 02:00:00,0,0,0,0.0
2010-04-25,2010-04-26 02:00:00,740,25,25,1268.06
2010-04-26,2010-04-27 02:00:00,2098,55,41,3728.55
2010-04-27,2010-04-28 02:00:00,2536,38,34,3838.08
2010-04-28,2010-04-29 02:00:00,2756,40,37,4043.29
2010-04-29,2010-04-30 02:00:00,2294,50,44,3051.4
2010-04-30,2010-05-01 02:00:00,1053,25,22,1727.63
2010-05-01,2010-05-02 02:00:00,0,0,0,0.0
2010-05-02,2010-05-03 02:00:00,853,23,23,1119.99
2010-05-03,2010-05-04 02:00:00,0,0,0,0.0
2010-05-04,2010-05-05 02:00:00,1520,32,29,2243.53
2010-05-05,2010-05-06 02:00:00,2670,51,38,3184.48
2010-05-06,2010-05-07 02:00:00,3890,44,39,4711.92
2010-05-07,2010-05-08 02:00:00,2427,26,25,1815.18
2010-05-08,2010-05-09 02:00:00,0,0,0,0.0
2010-05-09,2010-05-10 02:00:00,909,38,33,1440.96
2010-05-10,2010-05-11 02:00:00,877,33,30,43.96
2010-05-11,2010-05-12 02:00:00,1822,38,36,3247.75
2010-05-12,2010-05-13 02:00:00,4612,31,28,2717.26
2010-05-13,2010-05-14 02:00:00,4902,35,31,3886.09
2010-05-14,2010-05-15 02:00:00,755,26,22,-3295.95
2010-05-15,2010-05-16 02:00:00,0,0,0,0.0
2010-05-16,2010-05-17 02:00:00,619,25,25,732.49
2010-05-17,2010-05-18 02:00:00,1214,27,25,788.35
